,aggregated_score,overall_sentiment
0,0.49560738354628975,Positive
1,-0.11373729089104012,Neutral
2,-0.034629202915181824,Neutral
3,0.37643331098690497,Positive
4,0.512482165599223,Positive
5,-0.20913129803090502,Negative
6,-0.018656517347301116,Neutral
7,-0.030715936030584503,Neutral
8,-0.05590714793811536,Neutral
9,0.10956622852723225,Neutral
10,-0.17581559792543808,Neutral
11,0.16002153433387892,Neutral
12,-0.23773276617871628,Negative
13,0.1196843946450444,Neutral
14,-0.2693174339021945,Negative
15,-0.13860920624100403,Neutral
16,0.18790565327579836,Neutral
17,0.5291888416359604,Positive
18,-0.18141806488240378,Neutral
19,0.4755655456656414,Positive
20,-0.004744131711219078,Neutral
21,0.09320822881207631,Neutral
22,0.18237072187053047,Neutral
23,-0.2651877598807276,Negative
24,0.04164084153696094,Neutral
25,0.34332982597211237,Positive
26,0.31553896827294325,Positive
27,0.4729668560618083,Positive
28,0.3292514637101192,Positive
29,0.048617496869767095,Neutral
30,0.32465935091010334,Positive
31,0.39851338561461214,Positive
32,0.39272071034376255,Positive
33,-0.04804875751337667,Neutral
34,0.37956936847265077,Positive
35,0.09897988005776953,Neutral
36,0.0,Neutral
37,0.1551621776511005,Neutral
38,0.1425635234780123,Neutral
39,-0.0170640069283568,Neutral
40,0.6087123319184414,Positive
41,0.22073082157077425,Positive
42,0.21755396702609206,Positive
43,-0.2099612772231992,Negative
44,-0.1277499783620801,Neutral
45,0.7172658071651509,Positive
46,0.4837451460434055,Positive
47,0.31406815160080087,Positive
48,0.07074506467668626,Neutral
49,-0.01833547963175587,Neutral
50,0.7831717406767826,Positive
51,0.38864670634301923,Positive
52,0.0016301992910806948,Neutral
53,0.4454240102651629,Positive
54,0.1876077928326258,Neutral
55,0.0480941493526604,Neutral
56,0.10210102345776234,Neutral
57,-0.4644636393529958,Negative
58,0.06253874742282978,Neutral
59,0.09255342638844131,Neutral
60,0.37922386093182037,Positive
61,0.125354213217535,Neutral
62,0.5029434495422763,Positive
63,-0.213566813875588,Negative
64,-0.017653742837802352,Neutral
65,0.21434960694691124,Positive
66,0.2603042851464293,Positive
67,0.5192565473999012,Positive
68,0.37766490488040383,Positive
69,0.39846061931394705,Positive
70,0.011534701637743111,Neutral
71,0.27064209078819695,Positive
72,0.3459236427219649,Positive
73,0.0,Neutral
74,0.2488936630728242,Positive
75,0.307559600501115,Positive
76,-0.007282320511292909,Neutral
77,0.6256586623187608,Positive
78,0.12049028731598883,Neutral
79,0.00864288257215583,Neutral
80,0.271072676930256,Positive
81,0.3333254116238006,Positive
82,0.21795933907228654,Positive
83,0.05575689963099969,Neutral
84,0.06815586017196823,Neutral
85,0.5043592495437059,Positive
86,0.6250929430057967,Positive
87,0.2524869107883934,Positive
88,0.7475364153039349,Positive
89,-0.20026736265099324,Negative
90,0.16595689738343222,Neutral
91,0.17529742539160942,Neutral
92,-0.05646155632294336,Neutral
93,0.23222212708998,Positive
94,0.0015978474920223496,Neutral
95,-0.0012131012975404142,Neutral
96,0.399975897419698,Positive
97,-0.011675276867702498,Neutral
98,0.21529710140621613,Positive
99,0.5782608080446846,Positive
100,0.13714886472873256,Neutral
101,0.4972726139459371,Positive
102,0.10658081986299536,Neutral
103,0.29440414933025255,Positive
104,0.555039878139217,Positive
105,-0.2775423755422337,Negative
106,0.5702222569637818,Positive
107,-0.42010735801836674,Negative
108,0.09175976550957447,Neutral
109,-0.1932082114105466,Neutral
110,-0.05121592780627713,Neutral
111,0.1405520897396779,Neutral
112,0.3310576653986322,Positive
113,0.3040777291892632,Positive
114,0.4225780302448686,Positive
115,0.21546780869493826,Positive
116,0.2572050938886563,Positive
117,0.11239094259080684,Neutral
118,-0.05261626570541364,Neutral
119,0.3608917079055552,Positive
120,0.08821645186564984,Neutral
121,0.49055205338512536,Positive
122,0.5352968947645048,Positive
123,0.17273255246516292,Neutral
124,0.2507229369448514,Positive
125,0.165897159653733,Neutral
126,0.4059338089713348,Positive
127,0.05712367532564251,Neutral
128,0.292115732864384,Positive
129,0.1652085997721242,Neutral
130,0.07396569669137977,Neutral
131,0.4014859837989284,Positive
132,0.17649809130816732,Neutral
133,0.3644412729371234,Positive
134,0.3828161035425768,Positive
135,0.09708136343394143,Neutral
136,0.17332400333491638,Neutral
137,0.3498723559533755,Positive
138,-0.11615379125267665,Neutral
139,0.3692076455826827,Positive
140,0.20929584892828043,Positive
